"trial","ref_position","var_area","response","correct","rt"
1,"L",11.0694274075795,"L",FALSE,6.84700012207031
2,"R",12.5305339577608,"L",TRUE,1.09200000762939
3,"L",13.1600953068119,"L",FALSE,0.684999942779541
4,"R",12.4477545560803,"R",FALSE,0.693000078201294
5,"R",10.4015723769553,"R",FALSE,0.895999908447266
6,"R",9.67454576375894,"R",FALSE,0.677999973297119
7,"R",12.3170289110858,"R",FALSE,0.691999912261963
8,"R",11.358448471874,"L",TRUE,0.872999906539917
9,"R",10.7864204500802,"R",FALSE,0.879999876022339
10,"R",12.356016720878,"L",TRUE,0.470999956130981
11,"L",8.3593536997214,"R",FALSE,0.779999971389771
12,"R",13.3466971537564,"R",FALSE,0.574000120162964
13,"L",13.5392826283351,"R",TRUE,0.690000057220459
14,"R",14.6245059196372,"L",TRUE,0.677000045776367
15,"L",13.3567200615071,"R",TRUE,1.40000009536743
16,"R",13.4152211253531,"L",TRUE,0.781999826431274
17,"L",10.656581324758,"R",TRUE,0.779000043869019
18,"L",8.80427439510822,"R",FALSE,0.586999893188477
19,"L",8.55936917592771,"R",FALSE,0.480999946594238
20,"R",10.6844769315794,"R",FALSE,0.473999977111816
21,"R",8.82986919442192,"L",FALSE,0.485000133514404
22,"L",9.76636625337414,"L",FALSE,0.592000007629395
23,"L",8.99039009772241,"R",FALSE,0.48799991607666
24,"L",8.6356084481813,"L",TRUE,0.368000030517578
25,"R",12.3315800824203,"R",FALSE,0.770999908447266
